GEMS Contest ID,Contest Sort Seq,District Type,District Type Subheading,District Name,Ballot Title,Ballots Counted for District,Registered Voters for District,Percent Turnout for District,Candidate Sort Seq,Ballot Response,Party Preference,Votes,Percent of Votes
62,810,Precinct Committee Officer,PRECINCT,BUR 33-0699,Precinct Committee Officer - Democratic,135,406,33.25,2,Cynthia Upthegrove,I affirm I am a Democrat.,54,51.92
62,810,Precinct Committee Officer,PRECINCT,BUR 33-0699,Precinct Committee Officer - Democratic,135,406,33.25,1,Kevin J Schilling,I affirm I am a Democrat.,50,48.08
34,340,State,Legislative,Legislative District No. 34,Representative Position No. 2,26556,106023,25.05,2,Jolie Lansdowne,(Prefers Republican Party),4045,15.76
34,340,State,Legislative,Legislative District No. 34,Representative Position No. 2,26556,106023,25.05,1,Joe Fitzgibbon,(Prefers Democratic Party),21593,84.10
34,340,State,Legislative,Legislative District No. 34,Representative Position No. 2,26556,106023,25.05,12,Write-in,,36,0.14
118,830,Precinct Committee Officer,PRECINCT,BUR 33-3752,Precinct Committee Officer - Democratic,148,506,29.25,1,Donna Christensen-Salcedo,I affirm I am a Democrat.,35,46.67
118,830,Precinct Committee Officer,PRECINCT,BUR 33-3752,Precinct Committee Officer - Democratic,148,506,29.25,2,Sarah Brusig,I affirm I am a Democrat.,40,53.33
38,380,State,Legislative,Legislative District No. 37,Representative Position No. 2,21255,100928,21.06,1,Chipalo Street,(Prefers Democratic Party),18024,92.59
38,380,State,Legislative,Legislative District No. 37,Representative Position No. 2,21255,100928,21.06,12,Write-in,,150,0.77
38,380,State,Legislative,Legislative District No. 37,Representative Position No. 2,21255,100928,21.06,2,Matt McCally,(Prefers Libertarian Party),1292,6.64
188,1450,Precinct Committee Officer,PRECINCT,SEA 46-1272,Precinct Committee Officer - Democratic,139,600,23.17,2,John Rhodes,I affirm I am a Democrat.,14,18.18
188,1450,Precinct Committee Officer,PRECINCT,SEA 46-1272,Precinct Committee Officer - Democratic,139,600,23.17,1,Lisa C. Stuebing,I affirm I am a Democrat.,63,81.82
48,480,State,Legislative,Legislative District No. 47,Representative Position No. 1,19938,90629,22.00,1,Debra Jean Entenman,(Prefers Democratic Party),11120,57.54
48,480,State,Legislative,Legislative District No. 47,Representative Position No. 1,19938,90629,22.00,12,Write-in,,47,0.24
48,480,State,Legislative,Legislative District No. 47,Representative Position No. 1,19938,90629,22.00,2,Kyle Lyebyedyev,(Prefers Republican Party),8159,42.22
56,560,City,City/Town,City of Des Moines,Proposition No. 1,4845,19216,25.21,2,Rejected,,2514,53.00
56,560,City,City/Town,City of Des Moines,Proposition No. 1,4845,19216,25.21,1,Approved,,2229,47.00
