"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"U.S. Senator","Mel Ram","(Prefers Republican Party)",86956,4.46,"United States"
"U.S. Senator","Dr Raul Garcia","(Prefers GOP Party)",431182,22.13,"United States"
"U.S. Senator","David Tilton","(Prefers Non-Partisan Party)",17561,0.9,"United States"
"U.S. Senator","Maria Cantwell","(Prefers Democratic Party)",1114327,57.18,"United States"
"U.S. Senator","Chuck Jackson","(Prefers Independent Party)",21055,1.08,"United States"
"U.S. Senator","Isaac A Holyk","(Prefers Republican Party)",110701,5.68,"United States"
"U.S. Senator","Henry Clay Dennison","(Prefers Socialist Workers Party)",7840,0.4,"United States"
"U.S. Senator","Scott Nazarino","(Prefers Republican Party)",111386,5.72,"United States"
"U.S. Senator","Paul Lawrence Giesick","(Prefers Democratic Party)",17433,0.89,"United States"
"U.S. Senator","Thor Amundson","(Prefers Independent Party)",10587,0.54,"United States"
"U.S. Senator","Goodspaceguy","(Prefers Republican Party)",16826,0.86,"United States"
"U.S. Senator","WRITE-IN"," ",2862,0.15,"United States"
"Congressional District 1 - U.S. Representative","Orion Webster","(Prefers Republican Party)",16770,9.67,"Congressional"
"Congressional District 1 - U.S. Representative","Mary Silva","(Prefers Republican Party)",11339,6.54,"Congressional"
"Congressional District 1 - U.S. Representative","Derek Chartrand","(Prefers Calm Rational GOP Party)",6980,4.02,"Congressional"
"Congressional District 1 - U.S. Representative","Suzan DelBene","(Prefers Democratic Party)",109456,63.11,"Congressional"
"Congressional District 1 - U.S. Representative","Matt Heines","(Prefers Trump Republican Party)",10815,6.24,"Congressional"
"Congressional District 1 - U.S. Representative","Jeb Brewer","(Prefers Republican Party)",17675,10.19,"Congressional"
"Congressional District 1 - U.S. Representative","WRITE-IN"," ",392,0.23,"Congressional"
"CONGRESSIONAL DISTRICT 2 - U.S. Representative","Edwin Stickle","(Prefers Democratic Party)",7692,3.48,"Congressional"
"CONGRESSIONAL DISTRICT 2 - U.S. Representative","Daniel Miller","(Prefers Republican Party)",11781,5.34,"Congressional"
"CONGRESSIONAL DISTRICT 2 - U.S. Representative","Cody Hart","(Prefers MAGA Republican Party)",43637,19.76,"Congressional"
"CONGRESSIONAL DISTRICT 2 - U.S. Representative","Leif Johnson","(Prefers Republican Party)",23340,10.57,"Congressional"
"CONGRESSIONAL DISTRICT 2 - U.S. Representative","Rick Larsen","(Prefers Democratic Party)",106276,48.14,"Congressional"
"CONGRESSIONAL DISTRICT 2 - U.S. Representative","Devin Hermanson","(Prefers Democratic Party)",9578,4.34,"Congressional"
"CONGRESSIONAL DISTRICT 2 - U.S. Representative","Jason Call","(Prefers Green Party)",7787,3.53,"Congressional"
"CONGRESSIONAL DISTRICT 2 - U.S. Representative","Josh Binda","(Prefers Democratic Party)",10497,4.75,"Congressional"
"CONGRESSIONAL DISTRICT 2 - U.S. Representative","WRITE-IN"," ",197,0.09,"Congressional"
"CONGRESSIONAL DISTRICT 3 - U.S. Representative","Leslie Lewallen","(Prefers Republican Party)",25868,12.19,"Congressional"
"CONGRESSIONAL DISTRICT 3 - U.S. Representative","Joe Kent","(Prefers Republican Party)",83389,39.31,"Congressional"
"CONGRESSIONAL DISTRICT 3 - U.S. Representative","John Saulie-Rohman","(Prefers Independent Party)",5406,2.55,"Congressional"
"CONGRESSIONAL DISTRICT 3 - U.S. Representative","Marie Gluesenkamp Perez","(Prefers Democratic Party)",97274,45.86,"Congressional"
"CONGRESSIONAL DISTRICT 3 - U.S. Representative","WRITE-IN"," ",186,0.09,"Congressional"
"Congressional District 4 - U.S. Representative","Mary Baechler","(Prefers Democratic Party)",22353,14.48,"Congressional"
"Congressional District 4 - U.S. Representative","Jerrod Sessler","(Prefers Republican Party)",51020,33.06,"Congressional"
"Congressional District 4 - U.S. Representative","John Malan","(Prefers MAGA Democrat Party)",711,0.46,"Congressional"
"Congressional District 4 - U.S. Representative","Dan Newhouse","(Prefers Republican Party)",36073,23.37,"Congressional"
"Congressional District 4 - U.S. Representative","Benny &quot;BG3&quot; Garcia","(Prefers Independent Party)",1389,0.9,"Congressional"
"Congressional District 4 - U.S. Representative","Barry Knowles","(Prefers Democrat Party)",3329,2.16,"Congressional"
"Congressional District 4 - U.S. Representative","Tiffany Smiley","(Prefers Republican Party)",29761,19.28,"Congressional"
"Congressional District 4 - U.S. Representative","&quot;Birdie&quot; Jane Muchlinski","(Prefers Democratic Party)",9593,6.22,"Congressional"
"Congressional District 4 - U.S. Representative","WRITE-IN"," ",98,0.06,"Congressional"
"CONGRESSIONAL DISTRICT 5 - U.S. Representative","Rick Valentine Flynn","(Prefers Republican Party)",4822,2.37,"Congressional"
"CONGRESSIONAL DISTRICT 5 - U.S. Representative","Rene' Holaday","(Prefers Republican Party)",6180,3.04,"Congressional"
"CONGRESSIONAL DISTRICT 5 - U.S. Representative","Jacquelin Maycumber","(Prefers Republican Party)",27717,13.63,"Congressional"
"CONGRESSIONAL DISTRICT 5 - U.S. Representative","Jonathan D Bingle","(Prefers Republican Party)",7510,3.69,"Congressional"
"CONGRESSIONAL DISTRICT 5 - U.S. Representative","Carmela Conroy","(Prefers Democratic Party)",37227,18.3,"Congressional"
"CONGRESSIONAL DISTRICT 5 - U.S. Representative","Ann Marie Danimus","(Prefers Democratic Party)",11306,5.56,"Congressional"
"CONGRESSIONAL DISTRICT 5 - U.S. Representative","Matthew Welde","(Prefers Democratic Party)",4183,2.06,"Congressional"
"CONGRESSIONAL DISTRICT 5 - U.S. Representative","Bernadine Bank","(Prefers Democratic Party)",24111,11.85,"Congressional"
"CONGRESSIONAL DISTRICT 5 - U.S. Representative","Michael Baumgartner","(Prefers Republican Party)",55859,27.46,"Congressional"
"CONGRESSIONAL DISTRICT 5 - U.S. Representative","Brian Dansel","(Prefers Republican Party)",21983,10.81,"Congressional"
"CONGRESSIONAL DISTRICT 5 - U.S. Representative","Bobbi Bennett-Wolcott","(Prefers Democratic Party)",2336,1.15,"Congressional"
"CONGRESSIONAL DISTRICT 5 - U.S. Representative","WRITE-IN"," ",175,0.09,"Congressional"
"CONGRESSIONAL DISTRICT 6 - U.S. Representative","Emily Randall","(Prefers Democratic Party)",80249,34.34,"Congressional"
"CONGRESSIONAL DISTRICT 6 - U.S. Representative","Janis Clark","(Prefers Republican Party)",17665,7.56,"Congressional"
"CONGRESSIONAL DISTRICT 6 - U.S. Representative","Drew C MacEwen","(Prefers Republican Party)",70513,30.18,"Congressional"
"CONGRESSIONAL DISTRICT 6 - U.S. Representative","J. Graham Ralston","(Prefers Independent Party)",7235,3.1,"Congressional"
"CONGRESSIONAL DISTRICT 6 - U.S. Representative","Hilary Franz","(Prefers Democratic Party)",57824,24.75,"Congressional"
"CONGRESSIONAL DISTRICT 6 - U.S. Representative","WRITE-IN"," ",188,0.08,"Congressional"
"Congressional District 7 - U.S. Representative","Dan Alexander","(Prefers Republican Party)",16902,7.76,"Congressional"
"Congressional District 7 - U.S. Representative","Pramila Jayapal","(Prefers Democratic Party)",174019,79.86,"Congressional"
"Congressional District 7 - U.S. Representative","Liz Hallock","(Prefers Democratic Party)",16494,7.57,"Congressional"
"Congressional District 7 - U.S. Representative","Cliff Moon","(Prefers Republican Party)",10070,4.62,"Congressional"
"Congressional District 7 - U.S. Representative","WRITE-IN"," ",409,0.19,"Congressional"
"Congressional District 8 - U.S. Representative","Kim Schrier","(Prefers Democratic Party)",105069,50.11,"Congressional"
"Congressional District 8 - U.S. Representative","Carmen Goers","(Prefers Republican Party)",94322,44.99,"Congressional"
"Congressional District 8 - U.S. Representative","Keith Arnold","(Prefers Democratic Party)",2603,1.24,"Congressional"
"Congressional District 8 - U.S. Representative","Imraan Siddiqi","(Prefers Democratic Party)",7374,3.52,"Congressional"
"Congressional District 8 - U.S. Representative","WRITE-IN"," ",291,0.14,"Congressional"
"Congressional District 9 - U.S. Representative","Melissa Chaudhry","(Prefers Democratic Party)",30229,20.66,"Congressional"
"Congressional District 9 - U.S. Representative","Paul Martin","(Prefers Republican Party)",26646,18.21,"Congressional"
"Congressional District 9 - U.S. Representative","David Ishii","(Prefers Bipartisan Party)",963,0.66,"Congressional"
"Congressional District 9 - U.S. Representative","Mark Greene","(Prefers Republican Party)",9459,6.47,"Congressional"
"Congressional District 9 - U.S. Representative","Adam Smith","(Prefers Democratic Party)",78761,53.83,"Congressional"
"Congressional District 9 - U.S. Representative","WRITE-IN"," ",248,0.17,"Congressional"
"Congressional District 10 - U.S. Representative","Marilyn Strickland","(Prefers Democratic Party)",93942,54.25,"Congressional"
"Congressional District 10 - U.S. Representative","Eric Mahaffy","(Prefers Democratic Party)",3527,2.04,"Congressional"
"Congressional District 10 - U.S. Representative","Richard Boyce","(Prefers Congress Sucks Party)",2056,1.19,"Congressional"
"Congressional District 10 - U.S. Representative","Nirav Sheth","(Prefers Republican Party)",20208,11.67,"Congressional"
"Congressional District 10 - U.S. Representative","Kurtis Engle","(Prefers Union Party)",545,0.31,"Congressional"
"Congressional District 10 - U.S. Representative","Desiree C. Toliver","(Prefers Democratic Party)",6424,3.71,"Congressional"
"Congressional District 10 - U.S. Representative","Don Hewett","(Prefers Republican Party)",46258,26.72,"Congressional"
"Congressional District 10 - U.S. Representative","WRITE-IN"," ",192,0.11,"Congressional"
